Condo Age,Number of Rooms,Avg. Area,Price
7.475217032,4,35220.38316,1361219.3
7.488368606,6,36495.17095,1465120.47
6.766015619,5,46677.2744,1571464.965
4.847002321,5,45889.89049,1629098.182
5.156588693,5,36998.47979,1182335.68
5.877126915,3,35039.46939,1010813.709
5.435725734,3,24942.88585,924728.5374
6.543983828,3,41467.86766,1382110.278
6.42853384,3,27404.50027,1366727.663
6.495344396,4,32875.76905,1297849.764
7.560599416,6,31202.18742,1196687.687
5.646510162,4,32311.85324,1281113.315
5.84297074,5,51746.72764,1530729.578
7.20944363,6,29423.82757,1208664.863
5.533214496,5,29860.07831,1417275.667
5.328192738,6,42996.60608,1195601.962
7.70013211,5,37223.87617,2469065.594
6.958044864,3,43322.16685,1223100.542
6.472118818,2,43072.19661,1220276.551
7.002128568,3,42744.82854,1311765.141
7.126074829,6,28410.30375,1198313.598
4.537668422,3,32058.35624,1187609.122
7.445436394,2,32157.13169,1399662.584
6.372610689,4,36239.55617,1597776.771
7.691464822,4,42258.53738,1355022.283
6.739317782,5,22431.60626,1137059.188
4.891102691,3,34573.11218,1053815.097
4.313977841,4,19835.24732,1242421.532
6.006171337,3,36129.69101,1222041.016
6.057649472,2,42018.93857,1025461.134
3.997533151,4,36009.70034,859427.9793
6.053873157,5,37741.35882,1279803.95
8.057346518,4,23876.13221,1671669.452
7.073681923,3,26630.48373,1525601.791
4.441899293,4,31470.61746,998773.9973
6.775334135,4,20317.21375,1012321.574
5.272233698,3,45357.00431,1252419.196
6.359688876,6,47812.01849,1869313.107
7.616643686,3,45281.18657,1800685.922
6.223896597,6,47747.3639,1393100.423
6.062755515,4,39456.87209,1166558.374
5.064611431,5,36326.69694,988175.0074
6.961396906,4,30108.24133,1540480.613
4.273992745,3,33763.08394,866142.1839
4.937434807,2,29365.60761,557362.2043
5.930501633,4,28851.6014,1033290.975
4.186458038,3,47445.35917,1084945.4
6.987280238,3,50233.79031,1365081.178
5.875971757,4,34933.19629,1239459.815
8.064452551,4,37854.37345,2056692.768
6.790821808,3,25296.73583,1045395.329
6.119687512,2,47897.15663,1679204.741
5.858157004,5,34312.41251,1158742.83
6.821881251,6,13340.49243,1647278.685
5.561739644,5,49974.87944,1702090.635
6.646559611,3,28280.9992,1379386.383
5.48771254,4,23733.79424,1358526.741
5.639329458,3,32964.01822,991398.8219
6.486062242,4,27373.15328,957117.6472
6.830319022,3,42758.66645,1638969.269
5.038331737,2,18226.17943,714142.2407
5.594251333,2,13345.56449,760876.0222
5.404097947,2,45887.34562,1343537.178
4.516448215,2,40325.17418,1056993.649
5.702618665,5,16654.26131,1088222.421
6.65834561,3,44071.60463,1308983.632
6.189855327,3,36678.06362,1548322.501
5.457043917,4,39842.86297,1411749.107
6.831473302,4,34671.59841,1601904.357
6.249503548,4,37764.36224,1277297.483
6.19439163,3,28112.16904,1061552.022
7.095153274,3,40080.6906,1115013.147
4.259876465,3,34684.09713,1020842.531
7.513542037,4,31352.40923,1440961.857
5.659123168,2,33533.91966,817377.311
6.860059982,2,22887.72189,1381536.934
4.853665891,3,38259.2238,1273067.036
8.236623014,6,20795.15006,1376714.674
6.44025247,2,37937.1943,1293746.876
6.147845579,3,34063.60356,1750908.224
6.925375603,3,35043.81895,555811.4067
7.058045773,5,35426.69013,1578829.012
5.496668278,3,27865.33079,911202.1683
6.571495853,5,37030.72731,1628751.935
5.611772057,2,41837.85872,1245400.955
6.21027074,2,24647.90591,993725.2172
4.910953601,4,56299.7726,1816099.138
6.182493965,4,33107.34283,1570583.34
6.637633898,4,43636.50449,1626321.321
4.102335552,2,42046.3404,1262494.287
5.695897215,3,40656.12969,1185226.617
6.872089194,3,31638.22991,1360329.359
5.217987014,3,54677.97282,1350459.116
5.470850799,2,48036.61012,1556987.724
6.067487348,4,37730.00709,886036.1295
6.200391541,6,27940.28442,1129613.01
4.946107518,3,19262.61425,1070240.02
6.394246586,3,37997.54792,1587015.357
4.227764832,3,25548.51424,1146321.581
6.334673345,5,17862.7275,1377447.349
6.311198444,3,40817.89,1113570.852
6.77233639,2,51145.32062,1593836.785
4.454425782,6,55577.96645,1560746.866
7.044519672,2,41416.97915,977980.9211
4.844146012,2,43345.60758,1292592.392
5.397718982,5,33263.14435,1458912.584
6.792255503,2,29572.38924,1037780.48
7.320676246,6,33379.6764,1792254.818
6.068556846,2,38408.27206,882170.3184
5.431862976,5,36950.73906,1883481.075
6.652657092,3,38568.07963,1268600.361
5.139113766,3,20097.1385,1157189.438
5.258393115,4,45266.52944,1180989.324
6.796332429,3,39219.52988,1813043.926
4.945615214,2,52718.24234,866666.0554
5.686293112,6,43771.64636,1671350.14
5.919090479,6,23637.25637,1137467.586
6.446352759,4,37511.33915,711499.2446
7.578855091,2,52358.79317,1940195.374
7.817418542,4,43558.8253,1496466.357
5.255407345,3,32295.76549,1448995.115
5.857966088,4,29668.87669,924271.7911
6.323865593,6,37994.97385,1747004.583
6.434539658,4,39347.13568,1576286.214
7.030649618,4,37295.99683,1712280.706
7.11005271,4,49250.7059,1852375.507
8.334376723,4,18257.14925,1007596.043
5.675103554,4,31159.28871,1034779.19
6.311996291,4,28922.95889,1006544.527
5.24116251,2,33083.43471,736798.5333
6.801245634,3,22619.11464,1109006.287
7.163657225,5,27809.13508,1384140.227
6.14098961,3,52469.76545,2084883.79
5.308936928,4,32210.42844,801194.6198
6.204022608,3,58256.11476,1412242.755
7.250403733,4,43272.31005,1890789.177
5.879915504,5,34880.77042,1841904.243
6.077935134,6,26952.55681,1467075.169
5.892496999,3,24734.40652,661043.3565
5.527126902,3,28846.95052,978035.3448
6.334282673,4,33572.74697,1250882.292
6.515076987,3,43313.16512,1409238.798
5.613920924,3,36768.63393,1162746.621
5.824410874,6,23249.82461,878862.7457
5.669181494,3,49175.33938,1338424.788
5.709771696,5,45033.389,1094347.968
6.232564644,4,27024.98663,1195897.741
4.73235732,5,40115.76381,1050239.904
5.079006175,5,36481.32775,914231.2923
6.30636892,3,20667.90293,864483.7585
6.548274287,3,51614.83014,1599478.986
7.097452091,4,35681.15262,1336356.233
6.182167977,5,29269.13734,1808341.466
7.402303153,3,35193.2115,1424283.373
5.69805435,3,40952.01693,1471799.676
6.596081195,4,28300.6076,1347622.483
7.1079515,5,23580.86919,1163741.658
6.528647477,2,28884.04164,1450624.524
6.532590685,3,25896.99089,982298.0366
5.131804628,5,34141.83201,868314.4736
5.624360626,4,27247.95256,1231511.931
5.118864117,4,16668.26686,663128.8401
5.75933535,3,46821.31972,1210496.625
6.419298756,2,25127.54884,1409033.071
5.322269839,5,57408.31289,1356384.668
6.93008843,4,28928.91819,1125476.202
6.746762462,4,22987.66824,1129975.817
4.425809431,6,36205.14863,1003642.627
6.358746643,4,37816.3377,1306367.811
8.540364464,6,33433.33877,1775874.76
6.666783161,3,29803.17135,1036685.241
7.042713319,2,49601.23864,1869929.202
6.520454687,2,42013.7324,1381085.729
7.510170525,6,45519.25627,2252243.34
6.805948234,3,13704.35075,787039.6447
6.043693161,6,28805.35549,957283.6564
5.89459679,2,43818.67866,1173695.292
7.126819682,3,43683.30256,1713161.699
6.024763926,3,41870.90839,1325503.454
6.611320094,3,44237.12104,1501497.532
7.440520777,2,33847.01451,1573580.234
5.349931577,4,30884.45099,693566.7573
7.0712945,4,37047.88256,1524586.787
7.034052002,3,42785.08178,1048818.21
6.371179256,4,38858.87649,1310764.112
4.455360136,5,54228.0749,1537329.57
6.426441855,2,41209.03078,1244881.363
5.278065149,4,30852.20701,732733.2363
4.7702735,4,25012.86978,1095806.626
5.414565601,3,33421.95541,476006.4445
7.746032249,4,40086.08586,1599911.368
5.791634958,3,49668.50107,1675825.721
5.646393371,6,29089.78359,1175868.999
6.630034548,4,31709.34046,1135079.345
4.986312079,2,62963.75539,1833208.579
5.379463351,3,15290.31706,1120349.773
5.784637307,2,37491.14691,1080735.984
5.553655007,2,37226.30715,1168574.666
8.182597765,5,44674.89103,1919693.23
6.368083311,5,48021.89287,1466605.774
7.116363924,6,26264.32179,1234037.236
7.525690557,6,21641.4762,1269486.337
6.373574216,3,31148.10331,1176111.788
5.772571885,2,50352.41648,1371298.425
5.368865349,5,34119.16671,1246509.14
6.035878341,4,24117.45838,1020268.855
7.797744345,4,20895.67945,1130415.41
4.923842083,6,32759.44783,890559.861
7.861372123,3,35826.71023,1417158.537
6.130262508,4,51385.52324,1376492.925
6.047921744,3,22432.13983,1306207.111
5.659574664,5,25691.68458,1275208.577
5.572671932,5,38952.18917,902520.94
5.924392329,2,17187.11819,872312.1738
5.849590798,5,44903.44532,994517.0453
7.552890547,5,27804.60516,1289008.217
7.932389745,4,27770.24891,1610006.605
7.070276512,3,42432.70958,1843720.648
7.397609154,4,44920.65789,1891949.348
5.667070098,5,34481.67331,1451078.093
6.724576165,5,36631.92686,1481940.762
4.443153288,3,47740.63899,1144477.879
7.798946099,5,46132.75451,1279945.51
6.160150424,6,42176.86419,1193021.312
7.225162105,4,43833.66369,1167119.109
6.689880078,2,25569.36831,1225612.763
6.579477075,2,33457.74573,1131618.913
6.261758249,3,41521.38461,1697501.605
5.783592751,3,42322.61326,1365496.885
4.886833901,4,19161.7809,622449.6452
4.698058035,3,50521.10423,1551094.815
6.654227602,2,35212.74388,1299126.83
6.479053952,3,46058.86914,1290324.649
5.280738899,6,25350.73547,1183884.005
5.568082321,4,33768.51285,1305934.325
6.957262275,6,49506.83061,1279117.965
4.030105163,3,37153.85262,786559.0249
7.58863366,3,35427.14865,1588196.233
4.661541159,3,30546.448,976649.0166
6.77431736,3,21574.47109,1250866.567
5.525518295,3,40582.00027,1046627.052
5.91722707,4,28428.30127,1115935.277
5.763367118,2,35005.79155,1077813.593
5.809591752,3,31297.52713,1047689.266
7.143521708,3,37619.43993,2332110.74
6.846644529,3,31236.58232,956435.2633
7.191396842,5,27797.78112,1892623.546
4.684995683,3,32511.84627,283208.1322
6.154820119,6,30398.57294,1176021.375
4.980779889,3,33462.67269,783818.682
8.151365564,6,28954.69773,1625703.075
6.986028567,2,34795.32008,1961846.905
5.47517822,2,35339.56993,1084556.029
6.045377972,2,41321.11197,1428247.074
6.446537103,6,39663.85423,1634945.808
5.060886422,4,48339.9406,915992.5578
3.412865926,2,50626.49543,1042373.524
4.206346468,5,31162.06331,879618.3222
5.725585477,2,47563.23158,1210431.684
5.367761195,6,17045.80773,1059262.039
6.725271357,5,23382.53939,972417.8089
5.447704768,5,41273.00907,1242979.154
5.874953196,3,37143.39873,1096846.086
5.575612395,3,37258.19982,1392685.285
3.802598991,5,58460.27986,1080464.852
5.77058657,2,34605.02957,821413.1935
7.258627482,4,38004.14521,2237778.026
5.543698858,3,43906.74417,1518319.641
6.078591256,3,38102.46556,1503552.206
6.312452422,2,48112.39408,1219154.403
5.586270688,2,34724.16282,1276259.018
6.757647964,2,32617.47347,1400496.655
6.094814233,2,25508.78544,1127174.713
5.223108351,3,41839.48396,1251663.851
5.853493968,2,40719.23735,1469354.782
4.915490826,4,25136.21543,946556.2637
6.524721338,4,28131.71902,1150658.595
6.834478651,3,27970.52173,1325819.913
5.609022494,4,31085.32304,1150093.889
6.032404649,3,23806.23576,1009142.338
6.375424294,5,43837.42476,1705276.19
5.573279881,4,28999.12825,829794.8233
6.017914884,2,47027.06248,1046442.634
5.432982248,5,40211.10647,1152269.431
4.738891648,2,32839.90146,1091479.56
5.359763922,4,25655.86712,1039915.341
3.995153644,5,31094.11082,565732.8175
5.406981272,6,39910.33971,1739628.383
5.892961875,3,31032.85907,1442128.732
3.744902467,2,39183.9578,1004124.909
5.070005756,2,25224.64592,1143621.36
4.618789366,2,36689.234,1060241.2
6.954520829,4,50851.06038,1548962.888
5.284318166,6,30212.43884,1056984.182
7.796604331,3,23817.9026,1447353.264
5.531907671,4,38073.5192,1251566.478
4.964391034,3,25157.45429,751969.2117
4.913081801,2,37457.80723,764955.4982
5.825465356,4,51562.59493,1539958.931
5.616237027,2,27127.62794,962747.1639
6.121600252,3,43233.325,1353854.478
5.016626686,5,42757.44428,1850525.573
5.662564675,3,43943.47926,1778411.665
7.315088749,3,22355.22119,1369006.115
6.91702898,2,49839.32178,1197975.085
6.601665974,4,40502.7397,1930143.831
7.835039543,2,34104.36601,1481946.194
5.99444191,4,31659.70025,1347578.53
5.430800355,3,32699.65258,1358646.746
4.606130739,3,37254.69839,931768.0455
5.350416528,5,51384.43323,1205962.995
5.215220595,3,36062.78846,792146.076
6.213365521,5,45424.22353,1618670.884
5.296992962,3,24080.58935,864446.7942
5.538518713,3,24898.73888,662630.3439
6.13879433,4,37280.44201,1485145.661
5.863607067,3,51456.29763,1047226.967
4.050263913,4,41931.4683,1392793.814
6.295071682,4,48123.70594,943575.1307
6.592507214,2,33110.5602,1793398.718
6.269166301,6,41349.04041,881273.1168
8.157806215,5,39586.43071,2138713.943
6.60606667,2,33603.48416,1540869.872
8.369497314,4,28904.21789,1707650.436
6.109440991,3,41525.3777,1025705.134
6.065352411,4,34262.32384,1541186.254
7.224280911,6,48918.05536,1930344.449
5.997033358,4,42768.9123,1481146.95
5.13588336,3,44474.70188,1099725.283
7.054468389,3,28164.22161,1190867.437
6.570369194,4,21934.89864,1070318.815
5.408652545,4,35563.45613,1358213.906
7.042026516,6,45027.11401,1198725.487
6.840974542,3,45991.85697,1774715.484
6.09113683,4,51019.21242,1538903.993
5.814261735,5,54680.64442,1462360.601
4.581133357,3,51611.11364,953261.9162
6.863400475,3,47717.13619,1427108.501
4.742984602,4,28298.49476,769576.8637
7.05347343,2,18656.64243,668255.4804
5.235210947,4,25267.10761,800809.1317
6.384603897,6,41521.43993,1427202.279
6.591952428,3,31822.06604,783566.3279
3.648545707,3,54157.29516,949072.2496
7.090474728,3,50245.27162,1693591.835
8.195316829,4,26794.25502,1675557.271
7.203931668,4,43231.6173,1943359.768
4.920192289,2,49272.461,1106261.274
6.765543807,4,29324.00264,978766.9139
4.96994317,5,22651.11135,997827.2538
6.353734757,4,45399.55912,1062206.321
6.437157062,4,32921.01007,1382172.294
6.531948057,5,17957.86337,1281741.163
6.723852343,6,41261.18878,1592664.7
5.382984046,6,31487.03672,1247557.695
5.535626528,3,27098.84396,779207.5546
4.735162617,3,29935.90416,1222760.858
6.855447634,6,35046.01314,1380715.315
4.229270472,2,31913.69653,704884.1544
5.93523864,3,49571.1057,1530480.688
6.321891117,4,45325.65586,1780415.438
6.337004614,6,46250.65372,1709667.189
4.727889358,3,37446.16768,852565.6269
5.259911725,2,33932.54516,1185310.267
5.805388791,6,43214.76502,1795093.034
4.095953719,4,45202.13987,956241.9913
4.877193259,4,56266.97406,1224454.547
4.486941357,2,26567.50608,552279.214
7.741143614,5,34537.001,1186357.179
7.378244345,3,47248.05759,1582261.701
5.488727065,5,29755.50821,1478028.174
6.547168411,5,24293.63308,1386306.103
5.775992038,3,42452.94119,1424786.509
3.644175062,6,40080.43542,1206937.316
4.817919945,5,29436.45405,1209287.535
5.750618205,2,26626.53416,1029869.764
4.897860862,4,26309.23832,300464.0987
5.149776773,2,25177.48795,1294278.118
5.648822124,6,16376.64122,1251757.193
7.326976844,4,39766.41957,1128403.366
5.429629503,5,36071.7552,1363669.069
5.562565511,6,30034.33954,1177744.973
5.205825325,4,43703.77758,980274.0699
5.450699153,4,38990.80712,1524115.891
7.456390109,3,31114.8974,1311902.534
5.793124435,5,27639.05883,1119992.619
6.837193059,3,32346.43499,1538922.903
4.065513078,4,27438.68941,843633.1982
5.426987047,5,40412.72218,903301.9933
5.945193547,4,41465.11563,1161995.728
5.140142495,3,33732.46287,733299.7945
7.050921403,3,46297.58121,1837930.801
5.994728233,3,39156.98102,962028.7008
6.564119268,6,45528.53724,1477765.148
7.951206605,4,33201.05371,1419345.607
4.385844659,4,45851.3983,539483.3966
5.387078609,3,21558.37575,1097701.943
6.338634231,2,30013.29805,1412274.486
3.278227596,4,34971.53955,1013443.438
6.778112479,4,25880.41441,893919.0388
6.326840293,4,31574.41047,1234531.601
6.124785472,3,19345.40638,864702.9339
6.252128678,4,24534.37105,977024.1102
4.421746778,5,39756.36603,936148.5119
5.745854007,3,30600.60461,1056976.975
5.762634689,3,35750.28631,1040607.312
5.862843292,4,44571.37813,1641101.519
6.453832512,4,22011.94593,503065.5056
6.926414489,6,41215.29823,1296146.939
6.902937655,3,26377.26824,1164209.619
7.161397225,2,33869.89954,999814.8898
5.896315848,6,36033.70143,1060897.689
5.543774149,3,48306.7974,1848633.724
4.597834172,3,36239.39412,617157.9103
4.948624044,3,29708.75808,857697.1255
5.744597578,4,45804.32891,1253434.398
6.148563983,5,26601.55793,1635092.433
7.299214839,3,32032.14109,1524845.422
5.954461825,3,36183.2878,763869.6667
5.254822469,4,46188.16509,1376637.506
8.389992287,6,23251.0467,1244440.135
5.972172601,6,32050.57593,693931.5015
5.611310138,2,42628.71074,1277744.739
5.525295192,4,39569.83006,1539329.319
6.234743605,2,29613.844,903881.6639
7.381580819,3,38938.2712,896944.2443
5.259416171,2,44953.52365,1184758.842
5.460823005,7,35036.19213,1731437.416
5.821678083,3,37341.62134,762144.9261
5.60685891,5,44586.72495,1270905.02
5.625066678,4,39385.6836,1000043.903
5.70927131,3,43818.81314,1967637.287
7.030593803,3,28954.49749,1114779.247
6.061124984,4,31628.22805,671661.7134
6.505040047,3,28464.33389,1214986.886
4.302756122,3,16250.76883,1053236.6
7.107788624,2,44544.23046,1515005.384
6.740554121,6,51673.96267,1732196.217
4.750904287,5,43445.0159,1587122.369
7.827794857,4,24199.05275,1184893.56
5.806519014,3,22710.19219,1314348.699
4.324962702,4,33320.39672,717825.3597
5.430302262,3,51662.31774,1441736.761
7.460307854,4,37161.1126,1119542.311
6.084778056,4,31551.86373,850977.0123
6.067423246,3,44706.71849,1655466.736
7.264613698,4,33258.83439,1641739.518
6.684347864,3,40283.24977,1369976.501
5.606278582,3,39218.75914,1465835.843
6.378901779,3,50194.10811,1789334.851
6.785460273,6,10311.00139,863297.1767
5.191222752,3,50113.83691,1425366.413
7.146246355,5,49782.15207,2271112.744
7.197138761,6,31998.76325,1370699.722
6.484438121,3,34431.16874,1566740.128
5.074271516,4,47039.09365,1436995.2
6.448675361,2,26576.39199,1345962.955
6.010153598,3,34894.15883,1265180.909
5.378244758,6,37378.95089,1061222.537
5.612801653,3,42245.4464,1383967.463
5.677748504,5,22552.53591,1051519.066
6.848939033,4,49083.66618,1550359.548
5.421143531,2,42038.80335,1375057.083
6.865788207,3,49574.70781,1882978.9
7.5960077,3,35528.50391,1274053.64
7.16654825,3,27699.04897,1426434.644
6.748781492,4,39369.30084,913587.0974
6.557164042,4,43348.48868,1116730.867
6.13572675,6,35071.99599,1226586.921
8.76478554,2,51791.80812,1836978.483
7.52333072,4,30852.29111,1452153.849
6.701112226,5,21880.05031,1294750.368
4.357088276,5,28908.08678,1059870.965
6.210744515,3,45540.93836,1615346.75
7.161978239,2,30767.31362,1107692.003
8.571796672,3,51538.0568,2330289.701
7.730949556,3,41926.02443,1116193.293
5.816532436,4,39399.93645,1072253.834
6.433839889,4,29780.17308,1626941.788
6.930752508,3,43609.46243,1669681.231
4.137278576,4,39210.48262,806121.8394
5.648700181,6,39351.01562,1680252.737
4.96635994,4,38413.49048,1186441.756
8.598382722,2,38251.81217,1766248.403
6.636742301,5,26690.70991,1641055.939
7.577254753,2,30099.39506,1120894.804
8.174270417,5,25091.82355,1325706.901
6.618516283,4,36360.2738,1593347.849
4.043752332,3,43522.68518,605073.4908
5.944492108,2,25271.93098,1064509.523
5.844846445,3,37608.67975,872365.8799
5.956718133,3,40928.28419,1117741.757
7.066791632,3,49398.25748,1935172.995
4.849506719,3,45359.02795,1668670.656
6.590092351,2,35282.71403,1072704.89
5.539850454,4,56294.43444,1914746.582
5.419607067,3,18230.51893,839194.0689
7.63974101,6,23734.16959,1285157.87
6.073168346,3,36291.1452,1433614.967
6.236986667,4,44768.68811,1459342.887
7.236786459,6,44277.30064,1652845.981
4.879253961,4,30535.2556,725830.602
4.572241077,3,53875.28901,1378863.688
6.30432228,6,31256.22333,1003941.929
5.641007686,2,41638.65687,729882.6249
5.826870236,3,40364.19315,1270047.528
6.689121255,2,49458.66507,1695706.132
5.531123591,4,20270.54195,714822.5872
6.425892565,4,52563.97982,1462899.031
5.367615821,6,32412.84314,1127260.126
5.146618085,5,38376.46825,1014226.299
4.663506201,4,37651.01453,852982.5644
5.174346635,6,29182.7206,830286.7066
4.82958619,4,22804.99194,1938866.49
6.854522409,4,49001.90125,1247645.41
4.727645965,3,45206.72551,813415.1281
5.000504143,2,26910.32075,679373.4015
5.494535087,3,30323.73988,814879.2063
5.729198183,4,40338.11037,1489540.135
6.517096671,5,36110.06309,1468738.755
5.821447363,4,38977.93739,1859883.661
6.769699197,5,42601.8153,1558758.796
7.762059263,4,42768.4581,2120888.345
5.549062595,5,19844.17257,790598.827
6.614755417,3,13983.30125,1137465.336
7.678891205,4,22272.18604,1369753.282
5.83835012,5,26973.43343,1433221.122
4.786484164,3,42385.40082,1373048.099
5.626372535,3,20214.598,941950.5795
7.353131745,3,22061.58541,948279.9394
6.038763092,3,45068.59934,1365036.084
4.403549081,4,34699.25818,1289082.363
5.733547356,3,42179.67004,1398979.249
8.312847295,5,13108.01789,1559678.613
6.745795742,5,37482.54576,1485677.064
4.604998734,4,50538.01354,1553592.98
5.743186901,6,41564.0063,1179278.094
8.172130124,2,42721.28569,1262465.989
6.487102994,4,34174.74428,1663509.393
5.459418735,3,39536.8097,930011.5709
6.171802299,3,38082.48344,1584167.851
7.078994202,5,50445.64737,2185480.091
6.459764363,4,44684.73719,1529028.714
5.692877721,6,22047.19911,998240.8508
6.612989198,3,29670.20231,513215.9882
7.349184292,5,25198.78667,1136448.409
6.524727389,6,42302.261,1898668.844
5.380618603,5,26623.18416,1255576.273
6.301814027,5,46663.40274,1367641.27
6.548375433,3,25791.99499,1788285.239
4.50065575,6,34216.69172,1230363.234
4.670846603,3,40155.74285,1000216.858
3.90784119,5,23031.17032,587007.8442
7.90559502,5,40239.28257,1734373.044
3.979496081,4,37467.59631,762167.2533
7.561878816,5,24402.23731,1532845.723
5.447651333,4,48711.5547,1243501.651
5.193719807,2,36590.45042,1628878.094
7.036043262,3,44280.07606,1767330.934
5.87836948,2,49355.97879,1308752.504
6.357683901,4,29922.1702,1311681.42
6.97543555,3,31822.48585,1567368.285
6.27170472,3,34894.57633,1126821.109
7.120304395,4,48433.82079,1473761.532
6.307915969,4,50823.45978,1366000.57
5.649168399,6,39890.29704,1677612.442
7.307595976,3,28555.78775,1789973.205
6.99119997,3,30847.09161,1961715.867
5.746925014,2,33201.07787,673225.1119
7.216355831,4,23811.23365,1230391.468
5.608289646,2,48649.61039,1124818.114
6.743717223,3,20068.15522,1090996.143
5.625005408,3,41393.59402,1570154.414
5.869786444,3,21518.04492,685123.1393
5.052580013,4,20211.43699,845553.3695
5.787124106,3,34967.07563,974805.9937
7.537023749,3,16409.11628,1247660.99
5.293498422,5,35417.76965,1381417.25
